Activity,Share of respondents (f),Share of respondents (%)
Social networking,0.97,97
Using instant messaging services,0.92,92
Listening to/downloading music,0.93,93
Sending/receiving emails,0.94,94
Internet banking,0.90,90
Finding information about goods and services,0.84,84
"Reading online news, newspapers or magazines",0.78,78
Making video or voice calls over the internet,0.70,70
Uploading content created by you to a website to be shared,0.56,56
Selling goods or services over the internet,0.22,22
Watching video content from services such as YouTube,0.95,95
